Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2023-24,2024-25,2025-26,2026-27,2027-28,Source document,Source table,URL
Attorney-General's,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Program 1.1: Legislative drafting and publication,Departmental Expenses,Departmental appropriation,,20973,23194,23465,23154,23250,2024-25 PB Statement OPC.xlsx,Table 2.1.1,
Attorney-General's,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Program 1.1: Legislative drafting and publication,Departmental Expenses,s74 External Revenue,,6829,6971,7101,7235,7379,2024-25 PB Statement OPC.xlsx,Table 2.1.1,
Attorney-General's,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Program 1.1: Legislative drafting and publication,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,879,804,801,801,671,2024-25 PB Statement OPC.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.1 Attorney-General’s Department Operating Expenses — Legal Services and Families,Departmental Expenses,Departmental appropriation,,134635,117519,88503,88591,89666,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.1 Attorney-General’s Department Operating Expenses — Legal Services and Families,Departmental Expenses,s74 External Revenue,,5790,5776,4539,4361,4249,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.1 Attorney-General’s Department Operating Expenses — Legal Services and Families,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,12406,10438,10438,10438,10438,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks","Program 1.2: Attorney-General’s Department Operating Expenses—National Security, Integrity and International",Departmental Expenses,Departmental appropriation,,169903,185492,151207,141748,138979,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks","Program 1.2: Attorney-General’s Department Operating Expenses—National Security, Integrity and International",Departmental Expenses,s74 External Revenue,,30827,24562,27877,27707,24425,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks","Program 1.2: Attorney-General’s Department Operating Expenses—National Security, Integrity and International",Departmental Expenses,Expenses not requiring appropriation in the Budget year,,16172,13889,13889,13889,13889,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.3: Australian Government Solicitor,Departmental Expenses,s74 External Revenue,,152968,171794,182285,193003,204082,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Community Legal Services Programme,,10446,10190,9887,9769,9964,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Expensive Commonwealth Criminal Cases Fund,,10126,13628,9162,9336,9523,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
Attorney-General's,Attorney-General's Department,"Outcome 1: A just and secure society through the maintenance and improvement of Australia's law, justice, security and integrity frameworks",Program 1.4: Justice Services,Administered Expenses,Family Court of Western Australia,,17794,18166,18465,18849,19222,2024-25 PB Statement AGD.xlsx,Table 2.1.1,
